date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-02-26,sz.000006,6.4000,6.9400,6.4000,6.6100,6.4100,47505883,318403983.9500,3,3.519000,1,3.120100,-6.734872,1.383783,1.310551,-4.123789,0
2025-02-27,sz.000006,6.5700,7.0000,6.5700,6.7300,6.6100,48692369,330809043.9900,3,3.606900,1,1.815400,-6.857139,1.408905,1.334343,-4.198654,0
2025-02-28,sz.000006,6.7100,6.7900,6.3700,6.3800,6.7300,41184327,268068447.5400,3,3.050700,1,-5.200600,-6.500527,1.335633,1.264949,-3.980299,0
2025-03-03,sz.000006,6.4000,6.5900,6.3300,6.4400,6.3800,33949705,219107710.8700,3,2.514800,1,0.940400,-6.561660,1.348194,1.276845,-4.017731,0
2025-03-04,sz.000006,6.4000,6.7000,6.4000,6.5400,6.4400,40275660,265201116.2200,3,2.983400,1,1.552800,-6.663550,1.369129,1.296672,-4.080118,0
2025-03-05,sz.000006,6.4700,6.5300,6.3300,6.5200,6.5400,33134972,212839032.2400,3,2.454500,1,-0.305800,-6.643172,1.364942,1.292707,-4.067641,0
2025-03-06,sz.000006,6.5400,6.7000,6.5400,6.7000,6.5200,47570863,315909264.1200,3,3.523800,1,2.760700,-6.826572,1.402624,1.328395,-4.179938,0
2025-03-07,sz.000006,6.6600,6.6800,6.4000,6.4400,6.7000,39238922,253635812.2400,3,2.906600,1,-3.880600,-6.561660,1.348194,1.276845,-4.017731,0
2025-03-10,sz.000006,6.3900,6.4500,6.3300,6.4400,6.4400,24121178,153629132.3000,3,1.786800,1,0.000000,-6.561660,1.348194,1.276845,-4.017731,0
2025-03-11,sz.000006,6.4800,7.0000,6.3500,6.7500,6.4400,58068184,385517581.5800,3,4.301400,1,4.813700,-6.877517,1.413091,1.338308,-4.211131,0
2025-03-12,sz.000006,6.7100,6.8600,6.6500,6.6600,6.7500,37995039,256074976.4400,3,2.814500,1,-1.333300,-6.785817,1.394250,1.320464,-4.154983,0
2025-03-13,sz.000006,6.6600,6.6900,6.4300,6.5100,6.6600,27996164,182227091.7500,3,2.073800,1,-2.252300,-6.632983,1.362848,1.290724,-4.061402,0
2025-03-14,sz.000006,6.4900,6.6000,6.4600,6.5900,6.5100,23756405,155348161.9000,3,1.759800,1,1.228900,-6.714494,1.379596,1.306586,-4.111312,0
2025-03-17,sz.000006,6.5500,6.7000,6.5500,6.6100,6.5900,24580004,162646873.3600,3,1.820800,1,0.303500,-6.734872,1.383783,1.310551,-4.123789,0
2025-03-18,sz.000006,6.5900,6.6700,6.5400,6.5700,6.6100,20644294,136214721.1500,3,1.529200,1,-0.605100,-6.694116,1.375409,1.302620,-4.098834,0
2025-03-19,sz.000006,6.5300,6.7000,6.4500,6.5100,6.5700,26987700,177331952.0000,3,1.999100,1,-0.913200,-6.632983,1.362848,1.290724,-4.061402,0
